"screen_name","text","stripped_text1"
"Visit__World","Airfare of the Day [Business Class] ETIHAD London to Johannesburg from £1,284 https://t.co/Wc5SvjkFsW #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Airfare of the Day [Business Class] ETIHAD London to Johannesburg from £1,284  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Countries Halt Air Travel From South Africa + Other African Nations https://t.co/jxxjOwEPxQ #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Countries Halt Air Travel From South Africa + Other African Nations  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Finally: Marriott Agrees To Prominently Disclose Resort Fees https://t.co/JG4179ib71 #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Finally: Marriott Agrees To Prominently Disclose Resort Fees  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","IHG Europe Up To 25% Off Cyber Sale For Stays Through September 4, 2022 (Book By December 3) https://t.co/1GqwIU3ELy #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","IHG Europe Up To 25% Off Cyber Sale For Stays Through September 4, 2022 (Book By December 3)  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Accor ALL South Korea 40% Off Through June 30, 2022 (Book By November 29) https://t.co/V15aI6ZQ4q #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Accor ALL South Korea 40% Off Through June 30, 2022 (Book By November 29)  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Avianca LifeMiles Cyber Week: Buy Miles With Up To 165% Bonus Through November 29, 2021 https://t.co/gwFFOZjeB9 #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Avianca LifeMiles Cyber Week: Buy Miles With Up To 165% Bonus Through November 29, 2021  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Promo: Buy $20 Starbucks Gift Card, Get $5 Free https://t.co/THVriT7RkX #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Promo: Buy $20 Starbucks Gift Card, Get $5 Free  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Was There A Smuggler On My US-Bound Flight? https://t.co/KR5iTZtUdP #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Was There A Smuggler On My US-Bound Flight?  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Air Canada Settles, Will Pay $4.5 Million For Refusing To Issue Timely Refunds https://t.co/xRkssoVQJI #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Air Canada Settles, Will Pay $4.5 Million For Refusing To Issue Timely Refunds  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Accor ALL Select European Countries Double &amp; Triple Points Through December 30, 2021 https://t.co/ZjycsGxuoV #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Accor ALL Select European Countries Double &amp; Triple Points Through December 30, 2021  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Fairmont North America Up To 40% Off Cyber Sale For Stays Through March 31, 2022 (Book By November 29) https://t.co/LnZmy3x8gj #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Fairmont North America Up To 40% Off Cyber Sale For Stays Through March 31, 2022 (Book By November 29)  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Qatar Airways Cyber Sale 2021 https://t.co/j19E2sR5Kk #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Qatar Airways Cyber Sale 2021  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Happy Thanksgiving &amp; Safe Travels From The LoyaltyLobby Team! https://t.co/S7Qq5lYyyk #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Happy Thanksgiving &amp; Safe Travels From The LoyaltyLobby Team!  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
